date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:52:37	12471/12471	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Sep%202016%2012:02:19%20GMT	http://www.vasterad.com/themes/sphene/index-resume-cv.html	D:/websites/resume/www.vasterad.com/themes/sphene/index-resume-cv.html	(from )
11:52:37	904/904	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Nov%202018%2006:22:38%20GMT	http://www.vasterad.com/robots.txt		(from )
11:52:38	189967/189967	---MCZ	200	added ('OK')	text/css	etag:W/%223aedf-53dad2a211140-gzip%22	http://www.vasterad.com/themes/sphene/css/style.css	D:/websites/resume/www.vasterad.com/themes/sphene/css/style.css	(from http://www.vasterad.com/themes/sphene/index-resume-cv.html)
11:52:38	3611/3611	---MCZ	200	added ('OK')	text/css	etag:W/%22fab-53dad2a5e1a40-gzip%22	http://www.vasterad.com/themes/sphene/css/colors/purple.css	D:/websites/resume/www.vasterad.com/themes/sphene/css/colors/purple.css	(from http://www.vasterad.com/themes/sphene/index-resume-cv.html)
11:52:38	43710/43710	---MC-	200	added ('OK')	text/javascript	date:Mon,%2005%20Nov%202018%2021:10:09%20GMT	https://www.google-analytics.com/analytics.js	D:/websites/resume/www.google-analytics.com/analytics.js	(from http://www.vasterad.com/themes/sphene/index-resume-cv.html)
11:52:41	31504/31504	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Sep%202016%2013:25:45%20GMT	http://www.vasterad.com/themes/sphene/index.html	D:/websites/resume/www.vasterad.com/themes/sphene/index.html	(from http://www.vasterad.com/themes/sphene/index-resume-cv.html)
11:52:41	525/525	---M--	200	added ('OK')	image/png	etag:%2220d-53b8cdc0f3e40%22	http://www.vasterad.com/themes/sphene/images/logo.png	D:/websites/resume/www.vasterad.com/themes/sphene/images/logo.png	(from http://www.vasterad.com/themes/sphene/index-resume-cv.html)
11:52:41	22490/22490	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Sep%202016%2010:28:16%20GMT	http://www.vasterad.com/themes/sphene/about-me.html	D:/websites/resume/www.vasterad.com/themes/sphene/about-me.html	(from http://www.vasterad.com/themes/sphene/index-resume-cv.html)
11:52:43	19085/19085	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Sep%202016%2010:16:02%20GMT	http://www.vasterad.com/themes/sphene/services-creative.html	D:/websites/resume/www.vasterad.com/themes/sphene/services-creative.html	(from http://www.vasterad.com/themes/sphene/index-resume-cv.html)
11:52:44	19670/19670	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Sep%202016%2010:16:00%20GMT	http://www.vasterad.com/themes/sphene/portfolio-full-width-style-1.html	D:/websites/resume/www.vasterad.com/themes/sphene/portfolio-full-width-style-1.html	(from http://www.vasterad.com/themes/sphene/index-resume-cv.html)
11:52:44	19870/19870	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Sep%202016%2012:41:51%20GMT	http://www.vasterad.com/themes/sphene/contact-classic.html	D:/websites/resume/www.vasterad.com/themes/sphene/contact-classic.html	(from http://www.vasterad.com/themes/sphene/index-resume-cv.html)
11:52:46	22034/22034	---M-Z	200	added ('OK')	application/javascript	etag:%225612-53c60e78f2bc0-gzip%22	http://www.vasterad.com/themes/sphene/scripts/jquery.flexslider-min.js	D:/websites/resume/www.vasterad.com/themes/sphene/scripts/jquery.flexslider-min.js	(from http://www.vasterad.com/themes/sphene/index-resume-cv.html)
11:52:46	40401/40401	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2013%20Sep%202016%2010:16:29%20GMT	http://www.vasterad.com/themes/sphene/scripts/owl.carousel.min.js	D:/websites/resume/www.vasterad.com/themes/sphene/scripts/owl.carousel.min.js	(from http://www.vasterad.com/themes/sphene/index-resume-cv.html)
11:52:47	1067/1067	---M-Z	200	added ('OK')	application/javascript	etag:%2242b-53c60e7616500-gzip%22	http://www.vasterad.com/themes/sphene/scripts/counterup.min.js	D:/websites/resume/www.vasterad.com/themes/sphene/scripts/counterup.min.js	(from http://www.vasterad.com/themes/sphene/index-resume-cv.html)
11:52:47	85589/85589	---M-Z	200	added ('OK')	application/javascript	etag:%2214e55-53c60e77fe980-gzip%22	http://www.vasterad.com/themes/sphene/scripts/jquery-2.2.0.min.js	D:/websites/resume/www.vasterad.com/themes/sphene/scripts/jquery-2.2.0.min.js	(from http://www.vasterad.com/themes/sphene/index-resume-cv.html)
11:52:48	8044/8044	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2013%20Sep%202016%2010:16:30%20GMT	http://www.vasterad.com/themes/sphene/scripts/waypoints.min.js	D:/websites/resume/www.vasterad.com/themes/sphene/scripts/waypoints.min.js	(from http://www.vasterad.com/themes/sphene/index-resume-cv.html)
11:52:48	104628/104628	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2013%20Sep%202016%2010:16:28%20GMT	http://www.vasterad.com/themes/sphene/scripts/jquery.themepunch.tools.min.js	D:/websites/resume/www.vasterad.com/themes/sphene/scripts/jquery.themepunch.tools.min.js	(from http://www.vasterad.com/themes/sphene/index-resume-cv.html)
11:52:50	48501/48501	---M-Z	200	added ('OK')	application/javascript	etag:%22bd75-53c60e7cc34c0-gzip%22	http://www.vasterad.com/themes/sphene/scripts/jquery.themepunch.revolution.min.js	D:/websites/resume/www.vasterad.com/themes/sphene/scripts/jquery.themepunch.revolution.min.js	(from http://www.vasterad.com/themes/sphene/index-resume-cv.html)
11:52:50	21136/21136	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2013%20Sep%202016%2010:16:25%20GMT	http://www.vasterad.com/themes/sphene/scripts/jquery.magnific-popup.min.js	D:/websites/resume/www.vasterad.com/themes/sphene/scripts/jquery.magnific-popup.min.js	(from http://www.vasterad.com/themes/sphene/index-resume-cv.html)
11:52:50	40847/40847	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2013%20Sep%202016%2010:16:24%20GMT	http://www.vasterad.com/themes/sphene/scripts/jquery.isotope.min.js	D:/websites/resume/www.vasterad.com/themes/sphene/scripts/jquery.isotope.min.js	(from http://www.vasterad.com/themes/sphene/index-resume-cv.html)
11:52:50	2798/2798	---M-Z	200	added ('OK')	application/javascript	etag:%22aee-53c60e7bcf280-gzip%22	http://www.vasterad.com/themes/sphene/scripts/jquery.sticky-kit.min.js	D:/websites/resume/www.vasterad.com/themes/sphene/scripts/jquery.sticky-kit.min.js	(from http://www.vasterad.com/themes/sphene/index-resume-cv.html)
11:52:50	3308/3308	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2013%20Sep%202016%2010:16:28%20GMT	http://www.vasterad.com/themes/sphene/scripts/jquery.twentytwenty.js	D:/websites/resume/www.vasterad.com/themes/sphene/scripts/jquery.twentytwenty.js	(from http://www.vasterad.com/themes/sphene/index-resume-cv.html)
11:52:50	7943/7943	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2013%20Sep%202016%2010:16:23%20GMT	http://www.vasterad.com/themes/sphene/scripts/jquery.event.move.js	D:/websites/resume/www.vasterad.com/themes/sphene/scripts/jquery.event.move.js	(from http://www.vasterad.com/themes/sphene/index-resume-cv.html)
11:52:51	12038/12038	---MCZ	200	added ('OK')	application/javascript	etag:W/%223c91-53c60e7adb040-gzip%22	http://www.vasterad.com/themes/sphene/scripts/jquery.photogrid.js	D:/websites/resume/www.vasterad.com/themes/sphene/scripts/jquery.photogrid.js	(from http://www.vasterad.com/themes/sphene/index-resume-cv.html)
11:52:51	5249/5249	---M-Z	200	added ('OK')	application/javascript	etag:%221481-53c60e7db7700-gzip%22	http://www.vasterad.com/themes/sphene/scripts/jquery.tooltips.min.js	D:/websites/resume/www.vasterad.com/themes/sphene/scripts/jquery.tooltips.min.js	(from http://www.vasterad.com/themes/sphene/index-resume-cv.html)
11:52:51	23584/23584	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c22-53c60e7bcf280-gzip%22	http://www.vasterad.com/themes/sphene/scripts/jquery.pricefilter.js	D:/websites/resume/www.vasterad.com/themes/sphene/scripts/jquery.pricefilter.js	(from http://www.vasterad.com/themes/sphene/index-resume-cv.html)
